StartDate (mm/dd/yyyy),Age,Attrition,BusinessTravel,Performance Score,Department,DistanceFromHome (miles),Education,EducationField,EmployeeNumber,EnvironmentSatisfaction,Gender,HourlyRate (Dollars),JobInvolvement,JobLevel,JobRole,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,Over18,OverTime,PercentSalaryHike,PerformanceRating,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
,28,Yes,Travel_Rarely,1157,Research & Development,2,Master,Medical,440,Low,Male,84,Low,1,Research Scientist,Married,3464,24737,5,Y,Yes,13,Excellent,80,0,5,4,2,3,2,2,2
,30,No,Travel_Rarely,1275,Research & Development,28,College,Medical,441,Very High,Female,64,High,2,Research Scientist,Married,5775,11934,1,Y,No,13,Excellent,80,2,11,2,3,10,8,1,9
,31,No,Travel_Frequently,798,Research & Development,7,College,Life Sciences,442,High,Female,48,Medium,3,Manufacturing Director,Married,8943,14034,1,Y,No,24,Outstanding,80,1,10,2,3,10,9,8,9
,39,No,Travel_Frequently,672,Research & Development,7,College,Medical,444,High,Male,54,Medium,5,Manager,Married,19272,21141,1,Y,No,15,Excellent,80,1,21,2,3,21,9,13,3
,39,Yes,Travel_Rarely,1162,Sales,3,College,Medical,445,Very High,Female,41,High,2,Sales Executive,Married,5238,17778,4,Y,Yes,18,Excellent,80,0,12,3,2,1,0,0,0
,33,No,Travel_Frequently,508,Sales,10,Bachelor,Marketing,446,Medium,Male,46,Medium,2,Sales Executive,Single,4682,4317,3,Y,No,14,Excellent,80,0,9,6,2,7,7,0,1
,47,No,Travel_Rarely,1482,Research & Development,5,Doctor,Life Sciences,447,Very High,Male,42,High,5,Research Director,Married,18300,16375,4,Y,No,11,Excellent,80,1,21,2,3,3,2,1,1
,43,No,Travel_Frequently,559,Research & Development,10,Master,Life Sciences,448,High,Female,82,Medium,2,Laboratory Technician,Divorced,5257,6227,1,Y,No,11,Excellent,80,1,9,3,4,9,7,0,0
,27,No,Non-Travel,210,Sales,1,Below College,Marketing,449,High,Male,73,High,2,Sales Executive,Married,6349,22107,0,Y,Yes,13,Excellent,80,1,6,0,3,5,4,1,4
,54,No,Travel_Frequently,928,Research & Development,20,Master,Life Sciences,450,Very High,Female,31,High,2,Research Scientist,Single,4869,16885,3,Y,No,12,Excellent,80,0,20,4,2,4,3,0,3
,43,No,Travel_Rarely,1001,Research & Development,7,Bachelor,Life Sciences,451,High,Female,43,High,3,Healthcare Representative,Married,9985,9262,8,Y,No,16,Excellent,80,1,10,1,2,1,0,0,0
,45,No,Travel_Rarely,549,Research & Development,8,Master,Other,452,Very High,Male,75,High,2,Research Scientist,Married,3697,9278,9,Y,No,14,Excellent,80,2,12,3,3,10,9,9,8
,40,No,Travel_Rarely,1124,Sales,1,College,Medical,453,Medium,Male,57,Low,2,Sales Executive,Married,7457,13273,2,Y,Yes,22,Outstanding,80,3,6,2,2,4,3,0,2
,29,Yes,Travel_Rarely,318,Research & Development,8,Master,Other,454,Medium,Male,77,Low,1,Laboratory Technician,Married,2119,4759,1,Y,Yes,11,Excellent,80,0,7,4,2,7,7,0,7
,29,No,Travel_Rarely,738,Research & Development,9,Doctor,Other,455,Medium,Male,30,Medium,1,Laboratory Technician,Single,3983,7621,0,Y,No,17,Excellent,80,0,4,2,3,3,2,2,2
,30,No,Travel_Rarely,570,Sales,5,Bachelor,Marketing,456,Very High,Female,30,Medium,2,Sales Executive,Divorced,6118,5431,1,Y,No,13,Excellent,80,3,10,2,3,10,9,1,2
,27,No,Travel_Rarely,1130,Sales,8,Master,Marketing,458,Medium,Female,56,High,2,Sales Executive,Married,6214,3415,1,Y,No,18,Excellent,80,1,8,3,3,8,7,0,7
,37,No,Travel_Rarely,1192,Research & Development,5,College,Medical,460,Very High,Male,61,High,2,Manufacturing Director,Divorced,6347,23177,7,Y,No,16,Excellent,80,2,8,2,2,6,2,0,4
,38,No,Travel_Rarely,343,Research & Development,15,College,Life Sciences,461,High,Male,92,Medium,3,Research Director,Divorced,11510,15682,0,Y,Yes,14,Excellent,80,1,12,3,3,11,10,2,9
,31,No,Travel_Rarely,1232,Research & Development,7,Master,Medical,462,High,Female,39,High,3,Manufacturing Director,Single,7143,25713,1,Y,Yes,14,Excellent,80,0,11,2,2,11,9,4,10
,29,No,Travel_Rarely,144,Sales,10,Below College,Marketing,463,Very High,Female,39,Medium,2,Sales Executive,Divorced,8268,11866,1,Y,Yes,14,Excellent,80,2,7,2,3,7,7,1,7
,35,No,Travel_Rarely,1296,Research & Development,5,Master,Technical Degree,464,High,Male,62,High,3,Manufacturing Director,Single,8095,18264,0,Y,No,13,Excellent,80,0,17,5,3,16,6,0,13
,23,No,Travel_Rarely,1309,Research & Development,26,Below College,Life Sciences,465,High,Male,83,High,1,Research Scientist,Divorced,2904,16092,1,Y,No,12,Excellent,80,2,4,2,2,4,2,0,2
,41,No,Travel_Rarely,483,Research & Development,6,Bachelor,Medical,466,Very High,Male,95,Medium,2,Manufacturing Director,Single,6032,10110,6,Y,Yes,15,Excellent,80,0,8,3,3,5,4,1,2
,47,No,Travel_Frequently,1309,Sales,4,Below College,Medical,467,Medium,Male,99,High,2,Sales Representative,Single,2976,25751,3,Y,No,19,Excellent,80,0,5,3,3,0,0,0,0
,42,No,Travel_Rarely,810,Research & Development,23,Doctor,Life Sciences,468,Low,Female,44,High,4,Research Director,Single,15992,15901,2,Y,No,14,Excellent,80,0,16,2,3,1,0,0,0
,29,No,Non-Travel,746,Sales,2,Bachelor,Life Sciences,469,Very High,Male,61,High,2,Sales Executive,Married,4649,16928,1,Y,No,14,Excellent,80,1,4,3,2,4,3,0,2
,42,No,Travel_Rarely,544,Human Resources,2,Below College,Technical Degree,470,High,Male,52,High,1,Human Resources,Divorced,2696,24017,0,Y,Yes,11,Excellent,80,1,4,5,3,3,2,1,0
,32,No,Travel_Rarely,1062,Research & Development,2,Bachelor,Medical,471,High,Female,75,High,1,Laboratory Technician,Married,2370,3956,1,Y,No,13,Excellent,80,1,8,4,3,8,0,0,7
,48,No,Travel_Rarely,530,Sales,29,Below College,Medical,473,Low,Female,91,High,3,Manager,Married,12504,23978,3,Y,No,21,Outstanding,80,1,15,3,1,0,0,0,0
,37,No,Travel_Rarely,1319,Research & Development,6,Bachelor,Medical,474,High,Male,51,Very High,2,Research Scientist,Divorced,5974,17001,4,Y,Yes,13,Excellent,80,2,13,2,3,7,7,6,7
,30,No,Non-Travel,641,Sales,25,College,Technical Degree,475,Very High,Female,85,High,2,Sales Executive,Married,4736,6069,7,Y,Yes,12,Excellent,80,1,4,2,4,2,2,2,2
,26,No,Travel_Rarely,933,Sales,1,Bachelor,Life Sciences,476,High,Male,57,High,2,Sales Executive,Married,5296,20156,1,Y,No,17,Excellent,80,1,8,3,3,8,7,7,7
,42,No,Travel_Rarely,1332,Research & Development,2,Master,Other,477,Low,Male,98,Medium,2,Healthcare Representative,Single,6781,17078,3,Y,No,23,Outstanding,80,0,14,6,3,1,0,0,0
,21,Yes,Travel_Frequently,756,Sales,1,Below College,Technical Degree,478,Low,Female,99,Medium,1,Sales Representative,Single,2174,9150,1,Y,Yes,11,Excellent,80,0,3,3,3,3,2,1,2
,36,No,Non-Travel,845,Sales,1,Doctor,Medical,479,Very High,Female,45,High,2,Sales Executive,Single,6653,15276,4,Y,No,15,Excellent,80,0,7,6,3,1,0,0,0
,36,No,Travel_Frequently,541,Sales,3,Master,Medical,481,Low,Male,48,Medium,3,Sales Executive,Married,9699,7246,4,Y,No,11,Excellent,80,1,16,2,3,13,9,1,12
,57,No,Travel_Rarely,593,Research & Development,1,Master,Medical,482,Very High,Male,88,High,2,Healthcare Representative,Married,6755,2967,2,Y,No,11,Excellent,80,0,15,2,3,3,2,1,2
,40,No,Travel_Rarely,1171,Research & Development,10,Master,Life Sciences,483,Very High,Female,46,Very High,1,Laboratory Technician,Married,2213,22495,3,Y,Yes,13,Excellent,80,1,10,3,3,7,7,1,7
,21,No,Non-Travel,895,Sales,9,College,Medical,484,Low,Male,39,High,1,Sales Representative,Single,2610,2851,1,Y,No,24,Outstanding,80,0,3,3,2,3,2,2,2
,33,Yes,Travel_Rarely,350,Sales,5,Bachelor,Marketing,485,Very High,Female,34,High,1,Sales Representative,Single,2851,9150,1,Y,Yes,13,Excellent,80,0,1,2,3,1,0,0,0
,37,No,Travel_Rarely,921,Research & Development,10,Bachelor,Medical,486,High,Female,98,High,1,Laboratory Technician,Married,3452,17663,6,Y,No,20,Outstanding,80,1,17,3,3,5,4,0,3
,46,No,Non-Travel,1144,Research & Development,7,Master,Medical,487,High,Female,30,High,2,Manufacturing Director,Married,5258,16044,2,Y,No,14,Excellent,80,0,7,2,4,1,0,0,0
,41,Yes,Travel_Frequently,143,Sales,4,Bachelor,Marketing,488,Low,Male,56,High,2,Sales Executive,Single,9355,9558,1,Y,No,18,Excellent,80,0,8,5,3,8,7,7,7
,50,No,Travel_Rarely,1046,Research & Development,10,Bachelor,Technical Degree,491,Very High,Male,100,Medium,3,Healthcare Representative,Single,10496,2755,6,Y,No,15,Excellent,80,0,20,2,3,4,3,1,3
,40,Yes,Travel_Rarely,575,Sales,22,College,Marketing,492,High,Male,68,Medium,2,Sales Executive,Married,6380,6110,2,Y,Yes,12,Average,80,2,8,6,3,6,4,1,0
,31,No,Travel_Rarely,408,Research & Development,9,Master,Life Sciences,493,High,Male,42,Medium,1,Research Scientist,Single,2657,7551,0,Y,Yes,16,Excellent,80,0,3,5,3,2,2,2,2
,21,Yes,Travel_Rarely,156,Sales,12,Bachelor,Life Sciences,494,High,Female,90,Very High,1,Sales Representative,Single,2716,25422,1,Y,No,15,Excellent,80,0,1,0,3,1,0,0,0
,29,No,Travel_Rarely,1283,Research & Development,23,Bachelor,Life Sciences,495,Very High,Male,54,High,1,Research Scientist,Single,2201,18168,9,Y,No,16,Excellent,80,0,6,4,3,3,2,1,2
,35,No,Travel_Rarely,755,Research & Development,9,Master,Life Sciences,496,High,Male,97,Medium,2,Healthcare Representative,Single,6540,19394,9,Y,No,19,Excellent,80,0,10,5,3,1,1,0,0
,27,No,Travel_Rarely,1469,Research & Development,1,College,Medical,497,Very High,Male,82,High,1,Laboratory Technician,Divorced,3816,17881,1,Y,No,11,Excellent,80,1,5,2,3,5,2,0,4
,28,No,Travel_Rarely,304,Sales,9,Master,Life Sciences,498,Medium,Male,92,High,2,Sales Executive,Single,5253,20750,1,Y,No,16,Excellent,80,0,7,1,3,7,5,0,7
,49,No,Travel_Rarely,1261,Research & Development,7,Bachelor,Other,499,Medium,Male,31,Medium,3,Healthcare Representative,Single,10965,12066,8,Y,No,24,Outstanding,80,0,26,2,3,5,2,0,0
,51,No,Travel_Rarely,1178,Sales,14,College,Life Sciences,500,High,Female,87,High,2,Sales Executive,Married,4936,14862,4,Y,No,11,Excellent,80,1,18,2,2,7,7,0,7
,36,No,Travel_Rarely,329,Research & Development,2,Bachelor,Life Sciences,501,Very High,Female,96,High,1,Research Scientist,Married,2543,11868,4,Y,No,13,Excellent,80,1,6,3,3,2,2,2,2
,34,Yes,Non-Travel,1362,Sales,19,Bachelor,Marketing,502,Low,Male,67,Very High,2,Sales Executive,Single,5304,4652,8,Y,Yes,13,Excellent,80,0,9,3,2,5,2,0,4
,55,No,Travel_Rarely,1311,Research & Development,2,Bachelor,Life Sciences,505,High,Female,97,High,4,Manager,Single,16659,23258,2,Y,Yes,13,Excellent,80,0,30,2,3,5,4,1,2
,24,No,Travel_Rarely,1371,Sales,10,Master,Marketing,507,Very High,Female,77,High,2,Sales Executive,Divorced,4260,5915,1,Y,Yes,12,Excellent,80,1,5,2,4,5,2,0,3
,30,No,Travel_Rarely,202,Sales,2,Below College,Technical Degree,508,High,Male,72,High,1,Sales Representative,Married,2476,17434,1,Y,No,18,Excellent,80,1,1,3,3,1,0,0,0
,26,Yes,Travel_Frequently,575,Research & Development,3,Below College,Technical Degree,510,High,Male,73,High,1,Research Scientist,Single,3102,6582,0,Y,No,22,Outstanding,80,0,7,2,3,6,4,0,4
,22,No,Travel_Rarely,253,Research & Development,11,Bachelor,Medical,511,Low,Female,43,High,1,Research Scientist,Married,2244,24440,1,Y,No,13,Excellent,80,1,2,1,3,2,1,1,2
,36,No,Travel_Rarely,164,Sales,2,College,Medical,513,Medium,Male,61,Medium,3,Sales Executive,Married,7596,3809,1,Y,No,13,Excellent,80,2,10,2,3,10,9,9,0
,30,Yes,Travel_Frequently,464,Research & Development,4,Bachelor,Technical Degree,514,High,Male,40,High,1,Research Scientist,Single,2285,3427,9,Y,Yes,23,Outstanding,80,0,3,4,3,1,0,0,0
,37,No,Travel_Rarely,1107,Research & Development,14,Bachelor,Life Sciences,515,Very High,Female,95,High,1,Laboratory Technician,Divorced,3034,26914,1,Y,No,12,Excellent,80,1,18,2,2,18,7,12,17
,40,No,Travel_Rarely,759,Sales,2,College,Marketing,516,Very High,Female,46,High,2,Sales Executive,Divorced,5715,22553,7,Y,No,12,Excellent,80,2,8,5,3,5,4,1,3
,42,No,Travel_Rarely,201,Research & Development,1,Master,Life Sciences,517,Medium,Female,95,High,1,Laboratory Technician,Divorced,2576,20490,3,Y,No,16,Excellent,80,1,8,5,3,5,2,1,2
,37,No,Travel_Rarely,1305,Research & Development,10,Master,Life Sciences,518,High,Male,49,High,2,Manufacturing Director,Single,4197,21123,2,Y,Yes,12,Excellent,80,0,18,2,2,1,0,0,1
,43,No,Travel_Rarely,982,Research & Development,12,Bachelor,Life Sciences,520,Low,Male,59,Medium,4,Research Director,Divorced,14336,4345,1,Y,No,11,Excellent,80,1,25,3,3,25,10,3,9
,40,No,Travel_Rarely,555,Research & Development,2,Bachelor,Medical,521,Medium,Female,78,Medium,2,Laboratory Technician,Married,3448,13436,6,Y,No,22,Outstanding,80,1,20,3,3,1,0,0,0
,54,No,Travel_Rarely,821,Research & Development,5,College,Medical,522,Low,Male,86,High,5,Research Director,Married,19406,8509,4,Y,No,11,Excellent,80,1,24,4,2,4,2,1,2
,34,No,Non-Travel,1381,Sales,4,Master,Marketing,523,High,Female,72,High,2,Sales Executive,Married,6538,12740,9,Y,No,15,Poor,80,1,6,3,3,3,2,1,2
,31,No,Travel_Rarely,480,Research & Development,7,College,Medical,524,Medium,Female,31,High,2,Manufacturing Director,Married,4306,4156,1,Y,No,12,Excellent,80,1,13,5,1,13,10,3,12
,43,No,Travel_Frequently,313,Research & Development,21,Bachelor,Medical,525,Very High,Male,61,High,1,Laboratory Technician,Married,2258,15238,7,Y,No,20,Outstanding,80,1,8,1,3,3,2,1,2
,43,No,Travel_Rarely,1473,Research & Development,8,Master,Other,526,High,Female,74,High,2,Healthcare Representative,Divorced,4522,2227,4,Y,Yes,14,Average,80,0,8,3,3,5,2,0,2
,25,No,Travel_Rarely,891,Sales,4,College,Life Sciences,527,Medium,Female,99,Medium,2,Sales Executive,Single,4487,12090,1,Y,Yes,11,Excellent,80,0,5,3,3,5,4,1,3
,37,No,Non-Travel,1063,Research & Development,25,Doctor,Medical,529,Medium,Female,72,High,2,Research Scientist,Married,4449,23866,3,Y,Yes,15,Excellent,80,2,15,2,3,13,11,10,7
,31,No,Travel_Rarely,329,Research & Development,1,College,Life Sciences,530,Very High,Male,98,Medium,1,Laboratory Technician,Married,2218,16193,1,Y,No,12,Average,80,1,4,3,3,4,2,3,2
,39,No,Travel_Frequently,1218,Research & Development,1,Below College,Life Sciences,531,Medium,Male,52,High,5,Manager,Divorced,19197,8213,1,Y,Yes,14,Excellent,80,1,21,3,3,21,8,1,6
,56,No,Travel_Frequently,906,Sales,6,Bachelor,Life Sciences,532,High,Female,86,Very High,4,Sales Executive,Married,13212,18256,9,Y,No,11,Excellent,80,3,36,0,2,7,7,7,7
,30,No,Travel_Rarely,1082,Sales,12,Bachelor,Technical Degree,533,Medium,Female,83,High,2,Sales Executive,Single,6577,19558,0,Y,No,11,Excellent,80,0,6,6,3,5,4,4,4
,41,No,Travel_Rarely,645,Sales,1,Bachelor,Marketing,534,Medium,Male,49,Very High,3,Sales Executive,Married,8392,19566,1,Y,No,16,Average,80,1,10,2,3,10,7,0,7
,28,No,Travel_Rarely,1300,Research & Development,17,College,Medical,536,High,Male,79,High,2,Laboratory Technician,Divorced,4558,13535,1,Y,No,12,Excellent,80,1,10,2,3,10,0,1,8
,25,Yes,Travel_Rarely,688,Research & Development,3,Bachelor,Medical,538,Low,Male,91,High,1,Laboratory Technician,Married,4031,9396,5,Y,No,13,Excellent,80,1,6,5,3,2,2,0,2
,52,No,Travel_Rarely,319,Research & Development,3,Bachelor,Medical,543,Very High,Male,39,Medium,3,Manufacturing Director,Married,7969,19609,2,Y,Yes,14,Average,80,0,28,4,3,5,4,0,4
,45,No,Travel_Rarely,192,Research & Development,10,College,Life Sciences,544,Low,Male,69,High,1,Research Scientist,Married,2654,9655,3,Y,No,21,Outstanding,80,2,8,3,2,2,2,0,2
,52,No,Travel_Rarely,1490,Research & Development,4,College,Life Sciences,546,Very High,Female,30,High,4,Manager,Married,16555,10310,2,Y,No,13,Excellent,80,0,31,2,1,5,2,1,4
,42,No,Travel_Frequently,532,Research & Development,29,College,Life Sciences,547,Low,Female,92,High,2,Research Scientist,Divorced,4556,12932,2,Y,No,11,Excellent,80,1,19,3,3,5,4,0,2
,30,No,Travel_Rarely,317,Research & Development,2,Bachelor,Life Sciences,548,High,Female,43,Low,2,Manufacturing Director,Single,6091,24793,2,Y,No,20,Outstanding,80,0,11,2,3,5,4,0,2
,60,No,Travel_Rarely,422,Research & Development,7,Bachelor,Life Sciences,549,Low,Female,41,High,5,Manager,Married,19566,3854,5,Y,No,11,Excellent,80,0,33,5,1,29,8,11,10
,46,No,Travel_Rarely,1485,Research & Development,18,Bachelor,Medical,550,High,Female,87,High,2,Manufacturing Director,Divorced,4810,26314,2,Y,No,14,Excellent,80,1,19,5,2,10,7,0,8
,42,No,Travel_Frequently,1368,Research & Development,28,Master,Technical Degree,551,Very High,Female,88,Medium,2,Healthcare Representative,Married,4523,4386,0,Y,No,11,Excellent,80,3,7,4,4,6,5,0,4
,24,Yes,Travel_Rarely,1448,Sales,1,Below College,Technical Degree,554,Low,Female,62,High,1,Sales Representative,Single,3202,21972,1,Y,Yes,16,Excellent,80,0,6,4,3,5,3,1,4
,34,Yes,Travel_Frequently,296,Sales,6,College,Marketing,555,Very High,Female,33,Low,1,Sales Representative,Divorced,2351,12253,0,Y,No,16,Excellent,80,1,3,3,2,2,2,1,0
,38,No,Travel_Frequently,1490,Research & Development,2,College,Life Sciences,556,Very High,Male,42,High,1,Laboratory Technician,Married,1702,12106,1,Y,Yes,23,Outstanding,80,1,1,3,3,1,0,0,0
,40,No,Travel_Rarely,1398,Sales,2,Master,Life Sciences,558,High,Female,79,High,5,Manager,Married,18041,13022,0,Y,No,14,Excellent,80,0,21,2,3,20,15,1,12
,26,No,Travel_Rarely,1349,Research & Development,23,Bachelor,Life Sciences,560,Low,Female,90,High,1,Research Scientist,Divorced,2886,3032,1,Y,No,22,Outstanding,80,2,3,3,1,3,2,0,2
,30,No,Non-Travel,1400,Research & Development,3,Bachelor,Life Sciences,562,High,Male,53,High,1,Laboratory Technician,Married,2097,16734,4,Y,No,15,Excellent,80,1,9,3,1,5,3,1,4
,29,No,Travel_Rarely,986,Research & Development,3,Master,Medical,564,Medium,Male,93,Medium,3,Research Director,Married,11935,21526,1,Y,No,18,Excellent,80,0,10,2,3,10,2,0,7
,29,Yes,Travel_Rarely,408,Research & Development,25,Doctor,Technical Degree,565,High,Female,71,Medium,1,Research Scientist,Married,2546,18300,5,Y,No,16,Excellent,80,0,6,2,4,2,2,1,1
,19,Yes,Travel_Rarely,489,Human Resources,2,College,Technical Degree,566,Low,Male,52,Medium,1,Human Resources,Single,2564,18437,1,Y,No,12,Excellent,80,0,1,3,4,1,0,0,0
,30,No,Non-Travel,1398,Sales,22,Master,Other,567,High,Female,69,High,3,Sales Executive,Married,8412,2890,0,Y,No,11,Excellent,80,0,10,3,3,9,8,7,8
,57,No,Travel_Rarely,210,Sales,29,Bachelor,Marketing,568,Low,Male,56,Medium,4,Manager,Divorced,14118,22102,3,Y,No,12,Excellent,80,1,32,3,2,1,0,0,0
,50,No,Travel_Rarely,1099,Research & Development,29,Master,Life Sciences,569,Medium,Male,88,Medium,4,Manager,Married,17046,9314,0,Y,No,15,Excellent,80,1,28,2,3,27,10,15,7
,30,No,Non-Travel,1116,Research & Development,2,Bachelor,Medical,571,High,Female,49,High,1,Laboratory Technician,Single,2564,7181,0,Y,No,14,Excellent,80,0,12,2,2,11,7,6,7
,60,No,Travel_Frequently,1499,Sales,28,Bachelor,Marketing,573,High,Female,80,Medium,3,Sales Executive,Married,10266,2845,4,Y,No,19,Excellent,80,0,22,5,4,18,13,13,11
,47,No,Travel_Rarely,983,Research & Development,2,College,Medical,574,Low,Female,65,High,2,Manufacturing Director,Divorced,5070,7389,5,Y,No,13,Excellent,80,3,20,2,3,5,0,0,4
,46,No,Travel_Rarely,1009,Research & Development,2,Bachelor,Life Sciences,575,Low,Male,51,High,4,Research Director,Married,17861,2288,6,Y,No,13,Excellent,80,0,26,2,1,3,2,0,1
,35,No,Travel_Rarely,144,Research & Development,22,Bachelor,Life Sciences,577,Very High,Male,46,Low,1,Laboratory Technician,Single,4230,19225,0,Y,No,15,Excellent,80,0,6,2,3,5,4,4,3
,54,No,Travel_Rarely,548,Research & Development,8,Master,Life Sciences,578,High,Female,42,High,2,Laboratory Technician,Single,3780,23428,7,Y,No,11,Excellent,80,0,19,3,3,1,0,0,0
,34,No,Travel_Rarely,1303,Research & Development,2,Master,Life Sciences,579,Very High,Male,62,Medium,1,Research Scientist,Divorced,2768,8416,3,Y,No,12,Excellent,80,1,14,3,3,7,3,5,7
,46,No,Travel_Rarely,1125,Sales,10,Bachelor,Marketing,580,High,Female,94,Medium,3,Sales Executive,Married,9071,11563,2,Y,Yes,19,Excellent,80,1,15,3,3,3,2,1,2
,31,No,Travel_Rarely,1274,Research & Development,9,Below College,Life Sciences,581,High,Male,33,High,3,Manufacturing Director,Divorced,10648,14394,1,Y,No,25,Outstanding,80,1,13,6,4,13,8,0,8
,33,Yes,Travel_Rarely,1277,Research & Development,15,Below College,Medical,582,Medium,Male,56,High,3,Manager,Married,13610,24619,7,Y,Yes,12,Excellent,80,0,15,2,4,7,6,7,7
,33,Yes,Travel_Rarely,587,Research & Development,10,Below College,Medical,584,Low,Male,38,Low,1,Laboratory Technician,Divorced,3408,6705,7,Y,No,13,Excellent,80,3,8,2,3,4,3,1,3
,30,No,Travel_Rarely,413,Sales,7,Below College,Marketing,585,Very High,Male,57,High,1,Sales Representative,Single,2983,18398,0,Y,No,14,Excellent,80,0,4,3,3,3,2,1,2
,35,No,Travel_Rarely,1276,Research & Development,16,Bachelor,Life Sciences,586,Very High,Male,72,High,3,Healthcare Representative,Married,7632,14295,4,Y,Yes,12,Excellent,80,0,10,2,3,8,7,0,0
,31,Yes,Travel_Frequently,534,Research & Development,20,Bachelor,Life Sciences,587,Low,Male,66,High,3,Healthcare Representative,Married,9824,22908,3,Y,No,12,Excellent,80,0,12,2,3,1,0,0,0
,34,Yes,Travel_Frequently,988,Human Resources,23,Bachelor,Human Resources,590,Medium,Female,43,High,3,Human Resources,Divorced,9950,11533,9,Y,Yes,15,Excellent,80,3,11,2,3,3,2,0,2
,42,No,Travel_Frequently,1474,Research & Development,5,College,Other,591,Medium,Male,97,High,1,Laboratory Technician,Married,2093,9260,4,Y,No,17,Excellent,80,1,8,4,3,2,2,2,0
,36,No,Non-Travel,635,Sales,10,Master,Medical,592,Medium,Male,32,High,3,Sales Executive,Single,9980,15318,1,Y,No,14,Excellent,80,0,10,3,2,10,3,9,7
,22,Yes,Travel_Frequently,1368,Research & Development,4,Below College,Technical Degree,593,High,Male,99,Medium,1,Laboratory Technician,Single,3894,9129,5,Y,No,16,Excellent,80,0,4,3,3,2,2,1,2
,48,No,Travel_Rarely,163,Sales,2,Doctor,Marketing,595,Medium,Female,37,High,2,Sales Executive,Married,4051,19658,2,Y,No,14,Excellent,80,1,14,2,3,9,7,6,7
,55,No,Travel_Rarely,1117,Sales,18,Doctor,Life Sciences,597,Low,Female,83,High,4,Manager,Single,16835,9873,3,Y,No,23,Outstanding,80,0,37,2,3,10,9,7,7
,41,No,Non-Travel,267,Sales,10,College,Life Sciences,599,Very High,Male,56,High,2,Sales Executive,Single,6230,13430,7,Y,No,14,Excellent,80,0,16,3,3,14,3,1,10
,35,No,Travel_Rarely,619,Sales,1,Bachelor,Marketing,600,Medium,Male,85,High,2,Sales Executive,Married,4717,18659,9,Y,No,11,Excellent,80,0,15,2,3,11,9,6,9
,40,No,Travel_Rarely,302,Research & Development,6,Bachelor,Life Sciences,601,Medium,Female,75,High,4,Manufacturing Director,Single,13237,20364,7,Y,No,15,Excellent,80,0,22,3,3,20,6,5,13
,39,No,Travel_Frequently,443,Research & Development,8,Below College,Life Sciences,602,High,Female,48,High,1,Laboratory Technician,Married,3755,17872,1,Y,No,11,Excellent,80,1,8,3,3,8,3,0,7
,31,No,Travel_Rarely,828,Sales,2,Below College,Life Sciences,604,Medium,Male,77,High,2,Sales Executive,Single,6582,8346,4,Y,Yes,13,Excellent,80,0,10,2,4,6,5,0,5
,42,No,Travel_Rarely,319,Research & Development,24,Bachelor,Medical,605,Very High,Male,56,High,3,Manufacturing Director,Married,7406,6950,1,Y,Yes,21,Average,80,1,10,5,2,10,9,5,8
,45,No,Travel_Rarely,561,Sales,2,Bachelor,Other,606,Very High,Male,61,High,2,Sales Executive,Married,4805,16177,0,Y,No,19,Average,80,1,9,3,4,8,7,3,7
,26,Yes,Travel_Frequently,426,Human Resources,17,Master,Life Sciences,608,Medium,Female,58,High,1,Human Resources,Divorced,2741,22808,0,Y,Yes,11,Average,80,1,8,2,2,7,7,1,0
,29,No,Travel_Rarely,232,Research & Development,19,Bachelor,Technical Degree,611,Very High,Male,34,High,2,Manufacturing Director,Divorced,4262,22645,4,Y,No,12,Average,80,2,8,2,4,3,2,1,2
,33,No,Travel_Rarely,922,Research & Development,1,Doctor,Medical,612,Low,Female,95,Very High,4,Research Director,Divorced,16184,22578,4,Y,No,19,Average,80,1,10,2,3,6,1,0,5
,31,No,Travel_Rarely,688,Sales,7,Bachelor,Life Sciences,613,High,Male,44,Medium,3,Manager,Divorced,11557,25291,9,Y,No,21,Average,80,1,10,3,2,5,4,0,1
,18,Yes,Travel_Frequently,1306,Sales,5,Bachelor,Marketing,614,Medium,Male,69,High,1,Sales Representative,Single,1878,8059,1,Y,Yes,14,Average,80,0,0,3,3,0,0,0,0
,40,No,Non-Travel,1094,Sales,28,Bachelor,Other,615,High,Male,58,Low,3,Sales Executive,Divorced,10932,11373,3,Y,No,15,Excellent,80,1,20,2,3,1,0,0,1
,41,No,Non-Travel,509,Research & Development,2,Master,Other,616,Low,Female,62,Medium,2,Healthcare Representative,Single,6811,2112,2,Y,Yes,17,Excellent,80,0,10,3,3,8,7,0,7
,26,No,Travel_Rarely,775,Sales,29,College,Medical,618,Low,Male,45,High,2,Sales Executive,Divorced,4306,4267,5,Y,No,12,Excellent,80,2,8,5,3,0,0,0,0
,35,No,Travel_Rarely,195,Sales,1,Bachelor,Medical,620,Low,Female,80,High,2,Sales Executive,Single,4859,6698,1,Y,No,16,Excellent,80,0,5,3,3,5,4,0,3
,34,No,Travel_Rarely,258,Sales,21,Master,Life Sciences,621,Very High,Male,74,Very High,2,Sales Executive,Single,5337,19921,1,Y,No,12,Excellent,80,0,10,3,3,10,7,5,7
